date,vw_index
20121205,4460.979
20121206,4470.038
20121207,4490.792
20121210,4495.334
20121211,4515.881
20121212,4520.705
20121213,4495.977
20121214,4486.242
20121217,4529.618
20121218,4577.412
20121219,4553.054
20121220,4580.976
20121221,4542.187
20121224,4532.501
20121226,4512.562
20121227,4509.636
20121228,4464.959
20121231,4535.843
20130102,4643.309
20130103,4638.67
20130104,4673.47
20130107,4658.844
20130108,4648.11
20130109,4662.465
20130110,4697.584
20130111,4697.861
20130114,4699.226
20130115,4715.089
20130116,4707.269
20130117,4735.438
20130118,4755.433
20130122,4784.319
20130123,4781.62
20130124,4797.87
20130125,4823.061
20130128,4813.135
20130129,4837.363
20130130,4816.34
20130131,4811.398
20130201,4853.977
20130204,4805.379
20130205,4844.662
20130206,4854.673
20130207,4842.732
20130208,4864.155
20130211,4858.905
20130212,4875.553
20130213,4879.572
20130214,4884.39
20130215,4875.329
20130219,4909.683
20130220,4846.327
20130221,4816.591
20130222,4857.716
20130225,4767.909
20130226,4796.968
20130227,4860.827
20130228,4858.306
20130301,4865.631
20130304,4884.38
20130305,4924.488
20130306,4935.355
20130307,4945.932
20130308,4972.524
20130311,4986.589
20130312,4978.55
20130313,4983.588
20130314,5016.601
20130315,5011.049
20130318,4980.551
20130319,4965.674
20130320,5001.847
20130321,4966.441
20130322,4994.763
20130325,4979.636
20130326,5019.739
20130327,5016.48
20130328,5039.12
20130401,5017.022
20130402,5029.156
20130403,4966.755
20130404,4988.182
20130405,4973.732
20130408,5009.712
20130409,5026.192
20130410,5076.577
20130411,5097.432
20130412,5076.455
20130415,4944.18
20130416,5017.329
20130417,4948.432
20130418,4927.921
20130419,4969.819
20130422,4983.971
20130423,5035.387
20130424,5048.643
20130425,5071.532
20130426,5059.879
20130429,5095.368
20130430,5112.224
20130501,5054.826
20130502,5098.451
20130503,5150.699
20130506,5161.858
20130507,5196.549
20130508,5222.821
20130509,5199.268
20130510,5219.714
20130513,5214.459
20130514,5268.351
20130515,5293.278
20130516,5263.554
20130517,5315
20130520,5319.753
20130521,5328.942
20130522,5279.353
20130523,5264.279
20130524,5258.902
20130528,5289.536
20130529,5250.685
20130530,5268.703
20130531,5190.942
20130603,5218.095
20130604,5189.444
20130605,5117.9
20130606,5168.904
20130607,5228.184
20130610,5227.843
20130611,5170.237
20130612,5130.549
20130613,5211.446
20130614,5184.844
20130617,5220.653
20130618,5258.271
20130619,5184.203
20130620,5046.742
20130621,5059.196
20130624,4993.949
20130625,5049.712
20130626,5096.922
20130627,5139.261
20130628,5117.921
20130701,5147.759
20130702,5139.253
20130703,5137.286
20130705,5184.438
20130708,5217.508
20130709,5261.546
20130710,5258.077
20130711,5330.558
20130712,5339.48
20130715,5350.61
20130716,5327.446
20130717,5343.67
20130718,5382.555
20130719,5404.686
20130722,5417.211
20130723,5417.597
20130724,5384.185
20130725,5401.465
20130726,5399.504
20130729,5379.972
20130730,5375.143
20130731,5371.882
20130801,5438.73
20130802,5442.077
20130805,5434.843
20130806,5400.451
20130807,5373.871
20130808,5403.239
20130809,5393.382
20130812,5386.455
20130813,5391.025
20130814,5367.359
20130815,5302.661
20130816,5283.598
20130819,5241.25
20130820,5269.122
20130821,5233.563
20130822,5278.58
20130823,5299.225
20130826,5279.065
20130827,5199.656
20130828,5212.105
20130829,5223.036
20130830,5203.561
20130903,5223.669
20130904,5259.474
20130905,5268.321
20130906,5273.927
20130909,5328.235
20130910,5369.974
20130911,5392.269
20130912,5368.547
20130913,5383.654
20130916,5423.214
20130917,5446.48
20130918,5516.839
20130919,5506.364
20130920,5460.5
20130923,5434.501
20130924,5424.537
20130925,5415.783
20130926,5432.316
20130927,5408.831
20130930,5378.979
20131001,5421.085
20131002,5417.1
20131003,5372.239
20131004,5405.876
20131007,5361.225
20131008,5301.054
20131009,5305.206
20131010,5416.75
20131011,5452.726
20131014,5471.788
20131015,5431.629
20131016,5503.935
20131017,5549.485
20131018,5578.492
20131021,5576.254
20131022,5612.085
20131023,5583.492
20131024,5604.068
20131025,5620.4
20131028,5623.271
20131029,5651.753
20131030,5619.788
20131031,5598.421
20131101,5609.662
20131104,5634.875
20131105,5611.246
20131106,5635.487
20131107,5566.188
20131108,5630.791
20131111,5638.626
20131112,5621.42
20131113,5664.848
20131114,5695.143
20131115,5722.451
20131118,5703.557
20131119,5685.251
20131120,5665.616
20131121,5709.453
20131122,5734.019
20131125,5721.751
20131126,5719.792
20131127,5728.069
20131129,5721.654
20131202,5702.376
20131203,5677.672
20131204,5669.391
20131205,5644.478
20131206,5704.312
20131209,5715.823
20131210,5698.382
20131211,5632.463
20131212,5616.324
20131213,5624.779
20131216,5659.855
20131217,5645.355
20131218,5734.379
20131219,5734.054
20131220,5765.15
20131223,5792.998
20131224,5816.811
20131226,5842.922
20131227,5847.146
20131230,5850.208
20131231,5873.791
20140102,5821.038
20140103,5829.053
20140106,5811.444
20140107,5840.614
20140108,5836.918
20140109,5841.415
20140110,5859.336
20140113,5795.3
20140114,5843.163
20140115,5868.075
20140116,5864.192
20140117,5846.214
20140121,5859.122
20140122,5862.534
20140123,5807.996
20140124,5683.826
20140127,5653.806
20140128,5702.835
20140129,5646.964
20140130,5701.542
20140131,5665.782
20140203,5536.892
20140204,5577.38
20140205,5571.667
20140206,5639.244
20140207,5703.842
20140210,5705.465
20140211,5766.371
20140212,5770.507
20140213,5806.449
20140214,5836.322
20140218,5847.263
20140219,5809.648
20140220,5846.733
20140221,5841.374
20140224,5876.24
20140225,5868.79
20140226,5875.802
20140227,5902.781
20140228,5920.967
20140303,5882.053
20140304,5970.674
20140305,5970.373
20140306,5986.499
20140307,5988.515
20140310,5978.879
20140311,5946.506
20140312,5948.85
20140313,5887.45
20140314,5882.38
20140317,5932.582
20140318,5969.502
20140319,5927.818
20140320,5960.418
20140321,5957.285
20140324,5930.946
20140325,5953.839
20140326,5916.342
20140327,5916.796
20140328,5950.151
20140331,6003.793
20140401,6038.344
20140402,6057.367
20140403,6050.281
20140404,5997.604
20140407,5924.877
20140408,5952.274
20140409,6009.428
20140410,5901.955
20140411,5849.432
20140414,5890.382
20140415,5927.33
20140416,5987.403
20140417,6002.042
20140421,6018.987
20140422,6045.596
20140423,6038.503
20140424,6034.094
20140425,5991.894
20140428,6000.178
20140429,6031.697
20140430,6054.145
20140501,6054.162
20140502,6053.646
20140505,6057.04
20140506,6012.227
20140507,6053.802
20140508,6038.891
20140509,6042.454
20140512,6098.439
20140513,6097.832
20140514,6071.908
20140515,6018.618
20140516,6035.509
20140519,6054.543
20140520,6011.461
20140521,6055.538
20140522,6072.456
20140523,6096.888
20140527,6121.542
20140528,6116.104
20140529,6145.424
20140530,6153.503
20140602,6161.925
20140603,6160.18
20140604,6173.597
20140605,6212.031
20140606,6242.812
20140609,6251.417
20140610,6247.913
20140611,6224.071
20140612,6191.181
20140613,6210.585
20140616,6218.04
20140617,6235.604
20140618,6280.961
20140619,6295.444
20140620,6309.507
20140623,6310.967
20140624,6260.465
20140625,6290.222
20140626,6285.422
20140627,6300.579
20140630,6304.641
20140701,6338.545
20140702,6335.745
20140703,6365.765
20140707,6328.875
20140708,6293.243
20140709,6317.983
20140710,6288.126
20140711,6285.604
20140714,6313.02
20140715,6297.223
20140716,6325.044
20140717,6260.854
20140718,6314.731
20140721,6299.859
20140722,6328.67
20140723,6335.771
20140724,6339.495
20140725,6309.045
20140728,6307.121
20140729,6276.182
20140730,6271.962
20140731,6151.686
20140801,6130.084
20140804,6175.399
20140805,6115.703
20140806,6117.096
20140807,6084.684
20140808,6152.934
20140811,6178.18
20140812,6164.961
20140813,6198.854
20140814,6225.425
20140815,6222.138
20140818,6273.467
20140819,6303.55
20140820,6321.743
20140821,6340.4
20140822,6325.047
20140825,6354.906
20140826,6366.865
20140827,6372.693
20140828,6362.244
20140829,6384.187
20140902,6377.622
20140903,6383.795
20140904,6369.084
20140905,6397.001
20140908,6369.377
20140909,6333.967
20140910,6346.384
20140911,6355.783
20140912,6311.185
20140915,6308.682
20140916,6352.846
20140917,6357.021
20140918,6382.391
20140919,6368.566
20140922,6305.707
20140923,6263.167
20140924,6302.23
20140925,6210.689
20140926,6260.376
20140929,6243.313
20140930,6214.442
20141001,6138.389
20141002,6141.861
20141003,6197.795
20141006,6192.917
20141007,6099.538
20141008,6191.242
20141009,6055.275
20141010,5993.68
20141013,5894.306
20141014,5906.384
20141015,5875.202
20141016,5906.322
20141017,5973.831
20141020,6021.77
20141021,6131.348
20141022,6074.91
20141023,6143.186
20141024,6179.559
20141027,6160.692
20141028,6238.759
20141029,6226.874
20141030,6262.261
20141031,6330.234
20141103,6320.693
20141104,6289.332
20141105,6333.115
20141106,6357.502
20141107,6376.146
20141110,6392.369
20141111,6397.961
20141112,6396.849
20141113,6386.146
20141114,6393.587
20141117,6400.9
20141118,6432.086
20141119,6424.524
20141120,6440.534
20141121,6481.262
20141124,6489.473
20141125,6483.655
20141126,6493.926
20141128,6440.8
20141201,6389.522
20141202,6427.531
20141203,6464.255
20141204,6447.392
20141205,6455.599
20141208,6390.74
20141209,6393.037
20141210,6278.854
20141211,6304.334
20141212,6198.164
20141215,6158.107
20141216,6134.531
20141217,6271.696
20141218,6408.151
20141219,6440.629
20141222,6461.963
20141223,6489.874
20141224,6490.226
20141226,6506.468
20141229,6517.636
20141230,6493.611
20141231,6434.613
20150102,6436.402
20150105,6309.813
20150106,6255.023
20150107,6322.092
20150108,6427.802
20150109,6375.755
20150112,6325.414
20150113,6306.413
20150114,6270.734
20150115,6222.982
20150116,6310.074
20150120,6302.623
20150121,6336.308
20150122,6424.575
20150123,6384.47
20150126,6415.488
20150127,6369.205
20150128,6266.687
20150129,6318.087
20150130,6235.078
20150202,6320.509
20150203,6427.158
20150204,6393.683
20150205,6470.263
20150206,6450.239
20150209,6422.86
20150210,6470.192
20150211,6460.618
20150212,6524.261
20150213,6549.175
20150217,6561.976
20150218,6558.922
20150219,6540.938
20150220,6577.868
20150223,6569.402
20150224,6585.281
20150225,6591.313
20150226,6567.509
20150227,6554.517
20150302,6583.562
20150303,6560.622
20150304,6533.207
20150305,6541.158
20150306,6443.709
20150309,6462.155
20150310,6363.007
20150311,6364.041
20150312,6448.758
20150313,6410.323
20150316,6487.056
20150317,6466.676
20150318,6551.373
20150319,6506.097
20150320,6572.984
20150323,6571.534
20150324,6536.592
20150325,6460.311
